Code,LeafType,Amax,LDMC,SLA,thickness,LNC
Acemon,Sun leaf,145.29,421,14.3,157.45,21.28
Brapho,Sun leaf,246.67,373,18,138.63,21.14
Cramon,Sun leaf,170.73,361,14.1,190.74,18.9
Cramon,Sun leaf,170.73,361,14.1,190.74,18.9
Dorpen,Sun leaf,178.48,277,18.3,191.63,34.16
Plalan,Sun leaf,335.49,166,19.9,307.26,23.94
Rubper,Sun leaf,206.18,213,16.3,291.15,19.46
Teucha,Sun leaf,208.18,300,14.3,230.92,21.14
Vibtin,Sun leaf,76.1,309,16.3,193.02,15.26
Aeggen,Sun leaf,334.99,263,22.7,158.98,25.06
Arirot,Sun leaf,287.32,237,20.5,201.01,34.86
Avebro,Sun leaf,68.3,277,16.4,216.70,18.48
Bradis,Sun leaf,252.6,348,28.2,87.04,21.84
Brapho,Sun leaf,103.44,381,12.9,198.42,16.94
Broere,Sun leaf,163.51,343,12.8,225.07,19.04
Brolan,Sun leaf,232.54,277,23.8,141.64,21.28
Buprig,Sun leaf,259.81,346,12.4,230.90,16.24
Buxsem,Sun leaf,32.92,462,6.1,364.42,14.56
Calnep,Sun leaf,239.47,215,27.5,160.77,31.08
Carhal,Sun leaf,145.49,373,13.8,188.34,18.62
Catcae,Sun leaf,373.43,126,16,519.25,20.3
Clevit,Sun leaf,307.81,284,19.7,171.31,27.44
Conarv,Sun leaf,283.92,195,26.3,189.13,28.84
Dacglo,Sun leaf,129.28,308,21.9,137.88,30.24
Echrit,Sun leaf,213.98,164,11.7,546.81,26.88
Erycam,Sun leaf,224.49,231,10.3,436.20,21.56
Helnum,Sun leaf,145.99,278,14.7,243.64,24.36
Junoxy,Sun leaf,25.19,452,7.1,317.01,8.4
Lavlat,Sun leaf,45.9,215,11.7,411.24,20.86
Lonetr,Sun leaf,378.41,287,15,230.03,18.2
Medmin,Sun leaf,245.88,274,21.2,164.08,36.26
Phlpra,Sun leaf,141.07,291,24.4,129.74,24.64
Pister,Sun leaf,121.49,345,12.3,233.72,24.22
Plalan,Sun leaf,157.9,175,16.7,350.53,20.3
Potcra,Sun leaf,235.5,333,12.3,243.03,18.06
Prumah,Sun leaf,177.37,326,13.5,224.47,22.68
Pruspi,Sun leaf,157.9,364,12.4,218.26,19.04
Queile,Sun leaf,53.85,340,9.4,318.42,17.22
Quepub,Sun leaf,73.27,450,9.2,240.18,20.16
Rosmic,Sun leaf,165.72,381,12.8,200.16,19.04
Rubper,Sun leaf,180.05,195,18.6,277.65,20.58
Sanmin,Sun leaf,208.73,331,19.4,146.07,21
Scaatr,Sun leaf,253.63,217,12,396.43,24.78
Teucha,Sun leaf,53.24,284,13,272.32,19.88
Thyvul,Sun leaf,83.73,292,12.2,283.13,22.68
Triang,Sun leaf,398.72,288,21.7,150.77,32.48
Urodal,Sun leaf,345.66,130,24.1,325.32,20.86
Vioalb,Sun leaf,180.69,240,21.1,191.85,19.6
Xerina,Sun leaf,369.12,165,31.7,184.96,33.32
Acerub,Sun leaf,76.336,452.504,19.084,102.29,18.9
Cartom,Sun leaf,123.5231,376.504,18.797,130.25,22.6
Corflo,Sun leaf,97.561,330.113,24.39,111.50,19.2
Fraame,Sun leaf,77.0416,428.383,15.408,141.44,20.1
Popgra,Sun leaf,113.89,485.69,17.331,105.58,24.6
Pruser,Sun leaf,133.588,339.159,19.084,144.73,20.5
Acesac,Sun leaf,91.26984,144.828,39.68253968,166.11,20.7
Acepla,Sun leaf,170.0375,172.314,37.453,145.22,20.1
Acesac,Sun leaf,104.3103,128.782,43.10344828,172.85,19.9
Banbau,Sun leaf,7.862,529.07,3.3,603.40,5.238
Banbau,Sun leaf,13.976,529.07,3.3,603.40,5.238
Banpet,Sun leaf,2.661,380.233,3.351,835.95,5.238
Banpet,Sun leaf,10.644,380.233,3.351,835.95,5.053
Unctom,Sun leaf,146.4968,373.8095238,12.7388535,205.59,22
Achmos,Sun leaf,321.44,102.7,19.6,520.09,46.099
Carcur,Sun leaf,170.64,304.6,10.8,308.65,24.041
Eriuni,Sun leaf,393.75,197.7,17.5,292.26,34.545
Geurep,Sun leaf,186.32,258.9,13.6,286.75,28.75
Leohel,Sun leaf,449.08,196,21.8,231.95,29.299
Ligmut,Sun leaf,320.26,251.3,13.4,300.95,37.708
Polviv,Sun leaf,351.48,184.8,17.4,316.34,43.604
Potcra,Sun leaf,226.32,294.6,13.8,245.04,31.298
Priglu,Sun leaf,156.21,131.7,12.7,630.94,24.714
Rangla,Sun leaf,271.22,124.4,14.2,596.09,31.212
Taralp,Sun leaf,290.44,126.3,27.4,292.18,29.537
Tritha,Sun leaf,278.85,275.5,16.5,216.54,35.343
Achmil,Sun leaf,254.18,244.5,14.2,291.15,38.368
Caracu,Sun leaf,386.88,373.4,18.6,133.19,31.508
Daucar,Sun leaf,501.6,182.1,26.4,203.41,35.112
Eriacr,Sun leaf,387.45,161.3,18.9,335.01,35.986
Geuriv,Sun leaf,288.29,305.9,22.7,133.22,27.966
Polbis,Sun leaf,388.8,179.4,21.6,258.29,40.219
Potans,Sun leaf,391.5,361.5,17.4,149.64,29.476
Trirep,Sun leaf,480.85,213.2,29.5,149.66,45.017
Agrmag,Sun leaf,97.54,303.03,15.267,212.34,21.28
Agrsto,Sun leaf,267.556,285.714,29.762,104.26,31.64
Acador,Sun leaf,67,489,4.5,473.65,21.2
Acaosw,Sun leaf,41,460,3.13,736.94,18.6
Atrsti,Sun leaf,227.3,305,12.91,253.80,34
Brapop,Sun leaf,26.9,455,7.42,300.12,20.1
Calgla,Sun leaf,26.9,507,4.24,485.43,12.6
Dodvis,Sun leaf,75.7,419,6.11,403.65,17.9
Dodvis,Sun leaf,94.6,461,9.34,229.99,22.1
Dodvis,Sun leaf,102.1,445,7.99,283.72,22.6
Eregla,Sun leaf,91.8,413,6.06,413.46,16.6
Eremit,Sun leaf,53.4,458,5.88,382.50,22.4
Eucint,Sun leaf,79.6,451,4.44,522.94,14.4
Exoaph,Sun leaf,8.8,462,2.14,1084.47,10.7
